Show_id,age_group,gender,country,region,subscription_plan,monthly_fee,subscription_start_date,subscription_end_date,payment_method,discount_applied,churn_status,title,content_type,genre,language,release_year,device_type,watch_time_minutes,session_count,completion_percentage,date_watched,time_of_day,rating,liked,recommendation_source,days_since_last_watch,avg_weekly_watch_time,content_diversity_score,User_status,Engagement_Level,Completion_group,Viwer_Type
U100804,21,Female,UK,Europe,Basic,8.99,2022-01-25,2026-02-07,Card,Yes,Active,Comedy Title 699,Series,Comedy,Hindi,2001,Laptop,53,1,88,2022-04-23,Afternoon,1,No,Ads,53,198,0.59,At Risk,low,High Completion,Casual viewer
U100805,30,Female,Germany,Europe,Basic,8.99,2024-05-20,2024-09-15,Card,No,Cancelled,Sci-Fi Title 2441,Movie,Sci-Fi,English,2019,TV,71,2,100,2025-03-06,Afternoon,3,No,Algorithm,43,231,0.59,At Risk,low,High Completion,Casual viewer
U100806,40,Female,South Africa,Africa,Premium,17.99,2022-03-21,2026-02-07,Wallet,No,Active,Action Title 615,Movie,Action,Hindi,2005,Mobile,131,4,100,2022-04-09,Night,2,No,Search,5,430,0.77,Active,low,High Completion,Heavy viewer
U100807,50,Male,France,Europe,Basic,8.99,2022-05-04,2026-02-07,Wallet,No,Active,Comedy Title 2782,Movie,Comedy,French,2007,Tablet,44,1,73,2022-07-15,Night,4,Yes,Algorithm,25,199,0.34,Active,low,Medium,Casual viewer
U100808,60,Male,South Africa,Africa,Premium,17.99,2023-10-23,2026-02-07,Wallet,No,Active,Documentary Title 234,Movie,Documentary,Hindi,2001,Mobile,120,4,100,2024-05-22,Night,2,No,Ads,49,287,0.58,At Risk,low,High Completion,Heavy viewer
U100809,40,Male,France,Europe,Basic,8.99,2023-10-29,2026-02-07,Bank Transfer,No,Active,Sci-Fi Title 464,Movie,Sci-Fi,Hindi,2009,TV,76,2,100,2024-06-03,Night,4,Yes,Ads,42,140,0.78,At Risk,low,High Completion,Casual viewer
U100810,30,Male,South Africa,Africa,Premium,17.99,2023-12-27,2026-02-07,Card,No,Active,Sci-Fi Title 2907,Movie,Sci-Fi,Portuguese,2008,TV,150,5,100,2024-05-20,Night,4,Yes,Algorithm,16,348,0.23,Active,low,High Completion,Heavy viewer
U100811,30,Female,India,Asia,Premium,17.99,2022-08-19,2026-02-07,Bank Transfer,Yes,Active,Comedy Title 2677,Series,Comedy,French,2011,TV,123,4,100,2023-04-08,Morning,3,No,Trending,10,341,0.92,Active,low,High Completion,Heavy viewer
U100812,40,Male,France,Europe,Premium,17.99,2022-12-12,2026-02-07,Bank Transfer,Yes,Active,Sci-Fi Title 2509,Series,Sci-Fi,Portuguese,2003,TV,132,4,100,2023-05-13,Evening,4,Yes,Algorithm,17,323,0.37,Active,low,High Completion,Heavy viewer
U100813,40,Male,Canada,North America,Standard,13.99,2023-03-05,2026-02-07,Bank Transfer,No,Active,Comedy Title 995,Series,Comedy,Japanese,2017,Laptop,99,3,100,2023-05-01,Morning,5,Yes,Algorithm,60,260,0.87,At Risk,low,High Completion,Heavy viewer
U100814,30,Male,India,Asia,Standard,13.99,2022-09-25,2026-02-07,Wallet,Yes,Active,Comedy Title 926,Movie,Comedy,Hindi,2011,Mobile,76,2,84,2023-06-20,Afternoon,3,No,Ads,56,305,0.28,At Risk,low,High Completion,Heavy viewer
U100815,40,Female,South Africa,Africa,Standard,13.99,2022-05-19,2026-02-07,Wallet,Yes,Active,Comedy Title 1114,Series,Comedy,French,2022,TV,88,2,97,2022-06-19,Night,5,Yes,Algorithm,17,242,0.41,Active,low,High Completion,Casual viewer
U100816,50,Female,Germany,Europe,Standard,13.99,2022-08-20,2026-02-07,Bank Transfer,No,Active,Comedy Title 2572,Movie,Comedy,French,2005,Laptop,100,3,100,2023-03-30,Night,2,No,Search,28,263,0.69,Active,low,High Completion,Heavy viewer
U100817,40,Male,France,Europe,Standard,13.99,2022-12-30,2024-05-10,Card,No,Cancelled,Drama Title 1,Series,Drama,Hindi,2002,Laptop,113,3,100,2023-07-28,Evening,2,No,Ads,28,251,0.52,Active,low,High Completion,Heavy viewer
U100818,40,Female,Germany,Europe,Premium,17.99,2023-08-02,2026-02-07,Wallet,No,Active,Animation Title 1521,Series,Animation,English,2017,TV,100,3,83,2023-08-12,Morning,4,Yes,Ads,30,367,0.28,Active,low,High Completion,Heavy viewer
U100819,21,Female,India,Asia,Basic,8.99,2022-07-17,2023-02-08,Bank Transfer,No,Cancelled,Comedy Title 284,Series,Comedy,Yoruba,2017,Tablet,56,1,93,2022-09-27,Afternoon,3,No,Algorithm,20,252,0.28,Active,low,High Completion,Heavy viewer
U100820,50,Female,Germany,Europe,Standard,13.99,2022-06-24,2026-02-07,Card,No,Active,Sci-Fi Title 1107,Movie,Sci-Fi,English,2015,Mobile,104,3,100,2022-11-23,Morning,4,Yes,Search,24,203,0.39,Active,low,High Completion,Casual viewer
U100821,21,Male,Brazil,South America,Standard,13.99,2023-05-06,2026-02-07,Wallet,No,Active,Romance Title 175,Movie,Romance,Portuguese,2009,Tablet,74,2,82,2023-07-23,Night,3,No,Trending,4,256,0.47,Active,low,High Completion,Heavy viewer
U100822,60,Female,Japan,Asia,Standard,13.99,2024-06-04,2026-02-07,Card,No,Active,Romance Title 701,Movie,Romance,Yoruba,2002,Laptop,103,3,100,2025-03-14,Morning,4,Yes,Friend,47,294,0.67,At Risk,low,High Completion,Heavy viewer
U100823,50,Male,Nigeria,Africa,Basic,8.99,2022-10-06,2026-02-07,Bank Transfer,No,Active,Comedy Title 470,Movie,Comedy,Yoruba,2020,Mobile,38,1,63,2022-11-03,Night,3,No,Ads,47,152,0.73,At Risk,low,Medium,Casual viewer
U100824,30,Male,Brazil,South America,Premium,17.99,2022-01-23,2026-02-07,Wallet,Yes,Active,Drama Title 291,Series,Drama,Yoruba,2005,Tablet,151,5,100,2022-02-11,Afternoon,2,No,Ads,35,361,0.92,At Risk,Medium,High Completion,Heavy viewer
U100825,40,Male,Brazil,South America,Basic,8.99,2024-04-09,2026-02-07,Card,No,Active,Sci-Fi Title 12,Series,Sci-Fi,English,2013,Laptop,66,2,100,2024-10-16,Night,2,No,Search,40,197,0.6,At Risk,low,High Completion,Casual viewer
U100826,50,Female,Brazil,South America,Standard,13.99,2023-07-21,2026-02-07,Bank Transfer,No,Active,Animation Title 1741,Movie,Animation,Japanese,2010,Tablet,75,2,83,2023-08-04,Night,5,Yes,Trending,5,308,0.39,Active,low,High Completion,Heavy viewer
U100827,30,Male,South Africa,Africa,Basic,8.99,2022-01-30,2026-02-07,Card,Yes,Active,Drama Title 345,Series,Drama,French,2015,Mobile,46,1,76,2022-03-05,Night,2,No,Search,4,216,0.2,Active,low,Medium,Casual viewer
U100828,17,Female,Brazil,South America,Basic,8.99,2023-04-28,2023-09-10,Wallet,No,Cancelled,Comedy Title 1805,Movie,Comedy,French,2021,Laptop,65,2,100,2023-08-16,Afternoon,4,Yes,Trending,18,239,0.25,Active,low,High Completion,Casual viewer
U100829,60,Female,UK,Europe,Basic,8.99,2023-12-30,2024-10-02,Wallet,No,Cancelled,Romance Title 2609,Movie,Romance,French,2005,Mobile,44,1,73,2024-07-04,Night,4,Yes,Friend,23,234,0.5,Active,low,Medium,Casual viewer
U100830,30,Female,Germany,Europe,Premium,17.99,2023-02-28,2026-02-07,Card,No,Active,Documentary Title 2917,Series,Documentary,Hindi,2006,TV,123,4,100,2023-10-18,Afternoon,2,No,Search,6,382,0.51,Active,low,High Completion,Heavy viewer
U100831,17,Male,Nigeria,Africa,Standard,13.99,2023-04-27,2026-02-07,Card,No,Active,Animation Title 1445,Movie,Animation,French,2003,Mobile,77,2,85,2024-02-18,Evening,1,No,Friend,14,255,0.49,Active,low,High Completion,Heavy viewer
U100832,17,Female,Nigeria,Africa,Basic,8.99,2023-08-21,2026-02-07,Card,No,Active,Sci-Fi Title 1640,Movie,Sci-Fi,Japanese,2010,Laptop,59,1,98,2023-09-20,Evening,5,Yes,Search,55,218,0.43,At Risk,low,High Completion,Casual viewer
U100833,17,Female,Germany,Europe,Basic,8.99,2022-04-02,2026-02-07,Bank Transfer,Yes,Active,Animation Title 1224,Movie,Animation,English,2001,Mobile,39,1,65,2022-08-07,Afternoon,2,No,Search,29,156,0.95,Active,low,Medium,Casual viewer
U100834,60,Female,France,Europe,Standard,13.99,2022-01-31,2026-02-07,Bank Transfer,No,Active,Drama Title 2826,Movie,Drama,Hindi,2000,TV,82,2,91,2022-09-15,Evening,2,No,Ads,15,315,0.43,Active,low,High Completion,Heavy viewer
U100835,21,Male,France,Europe,Standard,13.99,2022-08-23,2026-02-07,Wallet,Yes,Active,Sci-Fi Title 2618,Movie,Sci-Fi,French,2014,Tablet,72,2,80,2022-10-07,Morning,5,Yes,Trending,8,224,0.4,Active,low,High Completion,Casual viewer
U100836,40,Male,India,Asia,Basic,8.99,2024-05-07,2026-02-07,Wallet,No,Active,Drama Title 2459,Movie,Drama,Hindi,2002,Mobile,28,1,46,2024-05-18,Morning,3,No,Search,16,294,0.45,Active,low,Low,Heavy viewer
U100837,17,Female,South Africa,Africa,Basic,8.99,2022-09-02,2026-02-07,Wallet,No,Active,Thriller Title 1558,Movie,Thriller,Yoruba,2006,Mobile,64,2,100,2023-06-23,Evening,3,No,Friend,41,210,0.64,At Risk,low,High Completion,Casual viewer
U100838,17,Female,France,Europe,Basic,8.99,2022-02-20,2026-02-07,Wallet,No,Active,Drama Title 821,Series,Drama,Portuguese,2005,TV,81,2,100,2022-06-06,Night,3,No,Algorithm,0,145,0.64,Active,low,High Completion,Casual viewer
U100839,30,Male,Nigeria,Africa,Standard,13.99,2022-11-17,2026-02-07,Bank Transfer,No,Active,Documentary Title 1738,Movie,Documentary,Portuguese,2019,Laptop,92,3,100,2023-05-07,Afternoon,2,No,Friend,49,233,0.74,At Risk,low,High Completion,Casual viewer
U100840,40,Male,Germany,Europe,Basic,8.99,2024-03-23,2026-02-07,Card,No,Active,Romance Title 947,Series,Romance,French,2000,Tablet,40,1,66,2024-12-07,Afternoon,4,Yes,Friend,58,163,0.98,At Risk,low,Medium,Casual viewer
U100841,21,Female,USA,North America,Standard,13.99,2022-07-30,2026-02-07,Bank Transfer,Yes,Active,Documentary Title 1350,Movie,Documentary,Yoruba,2011,Laptop,99,3,100,2023-05-13,Morning,5,Yes,Search,50,206,0.76,At Risk,low,High Completion,Casual viewer
U100842,60,Male,USA,North America,Basic,8.99,2024-04-24,2026-02-07,Card,Yes,Active,Romance Title 438,Series,Romance,Hindi,2009,TV,61,2,100,2024-08-20,Morning,5,Yes,Algorithm,28,105,0.22,Active,low,High Completion,Casual viewer
U100843,60,Female,Germany,Europe,Basic,8.99,2022-07-21,2024-03-12,Bank Transfer,No,Cancelled,Sci-Fi Title 2926,Movie,Sci-Fi,English,2009,TV,38,1,63,2022-10-06,Evening,2,No,Friend,57,226,0.21,At Risk,low,Medium,Casual viewer
U100844,21,Female,Canada,North America,Basic,8.99,2024-03-25,2026-02-07,Card,No,Active,Comedy Title 2911,Series,Comedy,Japanese,2020,Mobile,68,2,100,2024-07-21,Afternoon,3,No,Search,24,194,0.72,Active,low,High Completion,Casual viewer
U100845,40,Female,Japan,Asia,Basic,8.99,2024-02-01,2024-10-24,Card,No,Cancelled,Sci-Fi Title 2698,Movie,Sci-Fi,Hindi,2018,Laptop,76,2,100,2024-07-09,Night,3,No,Friend,18,160,0.47,Active,low,High Completion,Casual viewer
U100846,17,Male,India,Asia,Standard,13.99,2022-08-12,2026-02-07,Wallet,No,Active,Comedy Title 607,Movie,Comedy,Yoruba,2012,Mobile,66,2,73,2023-04-01,Afternoon,5,Yes,Algorithm,13,299,0.8,Active,low,Medium,Heavy viewer
U100847,40,Male,France,Europe,Premium,17.99,2022-02-25,2026-02-07,Card,Yes,Active,Animation Title 2142,Series,Animation,German,2013,TV,113,3,94,2022-12-18,Morning,3,No,Search,9,356,0.86,Active,low,High Completion,Heavy viewer
U100848,17,Female,Germany,Europe,Basic,8.99,2024-03-25,2024-07-16,Bank Transfer,No,Cancelled,Drama Title 1066,Series,Drama,German,2022,Laptop,78,2,100,2024-10-24,Evening,4,Yes,Friend,29,236,0.57,Active,low,High Completion,Casual viewer
U100849,17,Male,France,Europe,Premium,17.99,2022-04-13,2026-02-07,Bank Transfer,No,Active,Action Title 1995,Series,Action,Japanese,2011,Laptop,114,3,95,2022-04-18,Evening,2,No,Ads,36,368,0.57,At Risk,low,High Completion,Heavy viewer
U100850,40,Male,Germany,Europe,Premium,17.99,2023-06-23,2026-02-07,Card,No,Active,Documentary Title 566,Movie,Documentary,German,2004,TV,135,4,100,2023-08-13,Night,4,Yes,Trending,1,304,0.45,Active,low,High Completion,Heavy viewer
U100851,50,Male,USA,North America,Basic,8.99,2024-04-06,2026-02-07,Card,Yes,Active,Thriller Title 812,Movie,Thriller,English,2022,Laptop,63,2,100,2024-06-18,Night,3,No,Ads,1,159,0.56,Active,low,High Completion,Casual viewer
U100852,60,Male,USA,North America,Standard,13.99,2022-10-31,2026-02-07,Card,No,Active,Sci-Fi Title 1231,Series,Sci-Fi,Yoruba,2014,Laptop,59,1,65,2023-01-02,Evening,1,No,Algorithm,13,290,0.51,Active,low,Medium,Heavy viewer
U100853,60,Male,Brazil,South America,Basic,8.99,2023-10-03,2026-02-07,Bank Transfer,No,Active,Romance Title 2442,Movie,Romance,Japanese,2003,TV,83,2,100,2024-03-10,Night,4,Yes,Search,11,140,0.88,Active,low,High Completion,Casual viewer
U100854,40,Female,UK,Europe,Basic,8.99,2024-03-13,2026-02-07,Bank Transfer,No,Active,Sci-Fi Title 2078,Movie,Sci-Fi,Japanese,2015,TV,63,2,100,2024-05-11,Evening,3,No,Algorithm,42,216,0.76,At Risk,low,High Completion,Casual viewer
U100855,30,Female,UK,Europe,Standard,13.99,2022-08-24,2026-02-07,Wallet,No,Active,Animation Title 1819,Series,Animation,English,2004,TV,100,3,100,2022-10-09,Night,4,Yes,Trending,24,298,0.63,Active,low,High Completion,Heavy viewer
U100856,21,Female,Brazil,South America,Standard,13.99,2022-10-16,2026-02-07,Wallet,Yes,Active,Comedy Title 489,Movie,Comedy,Portuguese,2009,TV,76,2,84,2023-06-07,Afternoon,1,No,Friend,53,226,0.24,At Risk,low,High Completion,Casual viewer
U100857,50,Male,UK,Europe,Premium,17.99,2024-02-14,2026-02-07,Bank Transfer,No,Active,Romance Title 1287,Movie,Romance,French,2011,TV,117,3,97,2024-11-25,Morning,3,No,Algorithm,22,330,0.21,Active,low,High Completion,Heavy viewer
U100858,17,Female,USA,North America,Basic,8.99,2023-12-11,2026-02-07,Card,Yes,Active,Comedy Title 205,Series,Comedy,French,2012,TV,55,1,91,2024-05-25,Morning,3,No,Trending,9,153,0.89,Active,low,High Completion,Casual viewer
U100859,21,Male,Brazil,South America,Premium,17.99,2023-12-19,2026-02-07,Card,No,Active,Comedy Title 679,Movie,Comedy,Hindi,2022,Laptop,122,4,100,2024-01-18,Evening,2,No,Search,18,336,0.37,Active,low,High Completion,Heavy viewer
U100860,30,Female,Nigeria,Africa,Standard,13.99,2022-03-18,2026-02-07,Wallet,Yes,Active,Sci-Fi Title 177,Series,Sci-Fi,Yoruba,2003,TV,99,3,100,2022-04-08,Evening,5,Yes,Search,45,283,0.55,At Risk,low,High Completion,Heavy viewer
U100861,50,Male,Canada,North America,Premium,17.99,2022-11-28,2026-02-07,Card,No,Active,Comedy Title 1306,Movie,Comedy,Japanese,2021,Tablet,109,3,90,2023-09-15,Morning,4,Yes,Friend,18,356,0.92,Active,low,High Completion,Heavy viewer
U100862,50,Female,France,Europe,Basic,8.99,2022-12-04,2024-06-27,Bank Transfer,No,Cancelled,Animation Title 426,Movie,Animation,German,2019,TV,31,1,51,2023-08-18,Afternoon,3,No,Trending,26,162,0.34,Active,low,Medium,Casual viewer
U100863,30,Female,Japan,Asia,Premium,17.99,2023-01-18,2026-02-07,Card,Yes,Active,Drama Title 1711,Series,Drama,Yoruba,2006,TV,94,3,78,2023-05-23,Morning,4,Yes,Ads,12,356,0.95,Active,low,Medium,Heavy viewer
U100864,50,Male,UK,Europe,Standard,13.99,2023-08-22,2026-02-07,Bank Transfer,Yes,Active,Comedy Title 942,Series,Comedy,French,2022,TV,97,3,100,2024-05-05,Evening,3,No,Algorithm,23,266,0.95,Active,low,High Completion,Heavy viewer
U100865,17,Female,UK,Europe,Basic,8.99,2022-07-31,2022-11-15,Card,No,Cancelled,Thriller Title 1962,Series,Thriller,Hindi,2016,Mobile,43,1,71,2023-04-14,Night,3,No,Ads,60,108,0.45,At Risk,low,Medium,Casual viewer
U100866,30,Female,Brazil,South America,Basic,8.99,2023-12-26,2024-03-16,Wallet,Yes,Cancelled,Animation Title 434,Series,Animation,Japanese,2010,Mobile,71,2,100,2024-03-09,Evening,4,Yes,Trending,40,145,0.72,At Risk,low,High Completion,Casual viewer
U100867,30,Male,India,Asia,Standard,13.99,2023-02-07,2026-02-07,Bank Transfer,No,Active,Sci-Fi Title 1906,Movie,Sci-Fi,French,2022,Tablet,81,2,90,2023-11-06,Afternoon,3,No,Search,23,301,0.88,Active,low,High Completion,Heavy viewer
U100868,30,Male,South Africa,Africa,Standard,13.99,2023-08-01,2026-02-07,Wallet,Yes,Active,Thriller Title 2861,Movie,Thriller,Yoruba,2006,TV,89,2,98,2024-04-09,Evening,3,No,Trending,18,297,0.71,Active,low,High Completion,Heavy viewer
U100869,50,Female,USA,North America,Premium,17.99,2024-05-29,2026-02-07,Bank Transfer,No,Active,Thriller Title 775,Series,Thriller,Yoruba,2017,TV,136,4,100,2024-12-31,Night,3,No,Ads,26,343,0.91,Active,low,High Completion,Heavy viewer
U100870,40,Male,Nigeria,Africa,Standard,13.99,2023-12-05,2024-04-20,Card,No,Cancelled,Drama Title 2523,Series,Drama,French,2020,Laptop,74,2,82,2024-03-03,Evening,5,Yes,Search,54,326,0.5,At Risk,low,High Completion,Heavy viewer
U100871,40,Male,Nigeria,Africa,Basic,8.99,2023-05-22,2026-02-07,Card,No,Active,Documentary Title 287,Movie,Documentary,Hindi,2017,TV,60,2,100,2023-06-27,Morning,2,No,Ads,35,116,0.74,At Risk,low,High Completion,Casual viewer
U100872,50,Female,South Africa,Africa,Basic,8.99,2024-01-25,2026-02-07,Bank Transfer,No,Active,Drama Title 2371,Series,Drama,Hindi,2012,Mobile,64,2,100,2024-03-13,Afternoon,4,Yes,Friend,9,178,0.63,Active,low,High Completion,Casual viewer
U100873,50,Female,France,Europe,Premium,17.99,2022-06-05,2026-02-07,Bank Transfer,No,Active,Romance Title 2919,Movie,Romance,Hindi,2015,TV,135,4,100,2023-02-22,Morning,2,No,Algorithm,49,328,0.41,At Risk,low,High Completion,Heavy viewer
U100874,50,Female,India,Asia,Premium,17.99,2022-04-20,2026-02-07,Card,No,Active,Romance Title 2309,Movie,Romance,Portuguese,2003,Mobile,118,3,98,2022-12-07,Morning,3,No,Algorithm,21,376,0.38,Active,low,High Completion,Heavy viewer
U100875,40,Male,France,Europe,Standard,13.99,2024-05-18,2026-02-07,Wallet,No,Active,Action Title 2625,Series,Action,Japanese,2009,TV,94,3,100,2025-01-25,Evening,4,Yes,Ads,57,287,0.21,At Risk,low,High Completion,Heavy viewer
U100876,17,Male,Canada,North America,Standard,13.99,2023-01-09,2023-05-19,Wallet,No,Cancelled,Animation Title 343,Series,Animation,English,2004,TV,94,3,100,2023-10-25,Morning,1,No,Trending,6,231,0.77,Active,low,High Completion,Casual viewer
U100877,50,Male,Nigeria,Africa,Premium,17.99,2023-08-10,2026-02-07,Card,No,Active,Documentary Title 401,Movie,Documentary,German,2024,TV,147,4,100,2024-02-01,Afternoon,4,Yes,Friend,46,307,0.9,At Risk,low,High Completion,Heavy viewer
U100878,30,Female,France,Europe,Standard,13.99,2022-08-14,2024-01-11,Card,No,Cancelled,Animation Title 347,Movie,Animation,English,2012,TV,90,3,100,2023-03-30,Night,2,No,Friend,55,209,0.89,At Risk,low,High Completion,Casual viewer
U100879,30,Male,Nigeria,Africa,Basic,8.99,2022-10-29,2026-02-07,Wallet,No,Active,Thriller Title 634,Movie,Thriller,German,2021,Mobile,70,2,100,2023-05-03,Evening,2,No,Ads,55,152,0.85,At Risk,low,High Completion,Casual viewer
U100880,60,Male,India,Asia,Premium,17.99,2022-01-01,2026-02-07,Card,No,Active,Comedy Title 490,Series,Comedy,Hindi,2022,Laptop,95,3,79,2022-05-05,Night,3,No,Friend,34,370,0.56,At Risk,low,Medium,Heavy viewer
U100881,21,Female,France,Europe,Standard,13.99,2022-03-31,2026-02-07,Card,No,Active,Sci-Fi Title 121,Movie,Sci-Fi,Japanese,2012,Mobile,64,2,71,2022-06-06,Evening,2,No,Trending,19,251,0.67,Active,low,Medium,Heavy viewer
U100882,21,Male,Germany,Europe,Basic,8.99,2022-04-30,2026-02-07,Card,No,Active,Action Title 81,Movie,Action,Yoruba,2009,Mobile,57,1,95,2022-12-06,Night,5,Yes,Ads,34,161,0.6,At Risk,low,High Completion,Casual viewer
U100883,40,Female,France,Europe,Standard,13.99,2022-07-19,2026-02-07,Bank Transfer,No,Active,Animation Title 1197,Movie,Animation,Portuguese,2010,TV,88,2,97,2023-04-08,Morning,3,No,Friend,37,224,0.37,At Risk,low,High Completion,Casual viewer
U100884,50,Female,Nigeria,Africa,Basic,8.99,2022-12-10,2026-02-07,Wallet,Yes,Active,Drama Title 1841,Series,Drama,Hindi,2000,TV,52,1,86,2023-04-19,Night,4,Yes,Trending,20,114,0.67,Active,low,High Completion,Casual viewer
U100885,60,Male,USA,North America,Basic,8.99,2024-01-05,2026-02-07,Wallet,Yes,Active,Thriller Title 1158,Movie,Thriller,English,2018,TV,75,2,100,2024-05-01,Afternoon,2,No,Friend,4,213,0.21,Active,low,High Completion,Casual viewer
U100886,40,Female,UK,Europe,Standard,13.99,2023-12-01,2026-02-07,Card,No,Active,Sci-Fi Title 2432,Series,Sci-Fi,German,2017,TV,101,3,100,2024-02-06,Morning,4,Yes,Ads,35,249,0.39,At Risk,low,High Completion,Casual viewer
U100887,30,Female,USA,North America,Basic,8.99,2022-09-24,2026-02-07,Card,No,Active,Sci-Fi Title 1016,Series,Sci-Fi,French,2022,Mobile,74,2,100,2023-03-02,Afternoon,4,Yes,Friend,3,204,0.43,Active,low,High Completion,Casual viewer
U100888,17,Male,UK,Europe,Standard,13.99,2022-02-09,2026-02-07,Card,No,Active,Action Title 2986,Series,Action,Portuguese,2008,TV,100,3,100,2022-10-28,Evening,4,Yes,Ads,49,190,0.8,At Risk,low,High Completion,Casual viewer
U100889,17,Female,Germany,Europe,Basic,8.99,2024-05-19,2026-02-07,Wallet,No,Active,Sci-Fi Title 273,Series,Sci-Fi,French,2013,TV,59,1,98,2025-02-19,Evening,3,No,Friend,16,132,0.43,Active,low,High Completion,Casual viewer
U100890,60,Male,South Africa,Africa,Basic,8.99,2024-02-11,2026-02-07,Bank Transfer,Yes,Active,Comedy Title 329,Series,Comedy,Hindi,2018,Mobile,59,1,98,2024-06-06,Night,4,Yes,Friend,56,247,0.54,At Risk,low,High Completion,Casual viewer
U100891,30,Female,Brazil,South America,Standard,13.99,2024-02-10,2026-02-07,Wallet,No,Active,Animation Title 2115,Series,Animation,English,2000,Mobile,113,3,100,2024-10-06,Night,4,Yes,Friend,49,236,0.36,At Risk,low,High Completion,Casual viewer
U100892,21,Male,South Africa,Africa,Basic,8.99,2022-08-30,2026-02-07,Bank Transfer,No,Active,Animation Title 2116,Series,Animation,Japanese,2018,Mobile,43,1,71,2023-04-02,Morning,3,No,Ads,9,164,0.74,Active,low,Medium,Casual viewer
U100893,30,Male,Canada,North America,Standard,13.99,2023-05-07,2024-07-15,Wallet,Yes,Cancelled,Action Title 1335,Series,Action,Japanese,2015,Laptop,89,2,98,2023-07-21,Evening,3,No,Search,17,230,0.34,Active,low,High Completion,Casual viewer
U100894,17,Female,South Africa,Africa,Basic,8.99,2022-07-29,2026-02-07,Card,No,Active,Action Title 2871,Movie,Action,Hindi,2012,Tablet,71,2,100,2022-08-26,Evening,3,No,Algorithm,2,143,0.89,Active,low,High Completion,Casual viewer
U100895,60,Male,Germany,Europe,Basic,8.99,2022-01-21,2026-02-07,Card,No,Active,Thriller Title 1545,Series,Thriller,Portuguese,2021,TV,53,1,88,2022-05-25,Afternoon,3,No,Algorithm,60,189,0.73,At Risk,low,High Completion,Casual viewer
U100896,40,Female,France,Europe,Premium,17.99,2024-05-14,2026-02-07,Card,Yes,Active,Comedy Title 1008,Series,Comedy,Japanese,2003,TV,104,3,86,2024-07-17,Night,3,No,Ads,11,316,0.58,Active,low,High Completion,Heavy viewer
U100897,17,Male,South Africa,Africa,Premium,17.99,2024-06-02,2026-02-07,Wallet,No,Active,Comedy Title 2142,Series,Comedy,German,2006,TV,120,4,100,2024-12-05,Night,3,No,Friend,49,406,0.81,At Risk,low,High Completion,Heavy viewer
U100898,60,Male,Japan,Asia,Basic,8.99,2022-10-23,2026-02-07,Bank Transfer,Yes,Active,Comedy Title 711,Movie,Comedy,French,2023,Laptop,79,2,100,2023-06-02,Evening,2,No,Ads,8,207,0.49,Active,low,High Completion,Casual viewer
U100899,60,Female,South Africa,Africa,Standard,13.99,2024-04-09,2026-02-07,Card,Yes,Active,Romance Title 1109,Series,Romance,Yoruba,2017,Mobile,114,3,100,2024-08-11,Morning,5,Yes,Algorithm,49,216,0.46,At Risk,low,High Completion,Casual viewer
U100900,50,Male,Nigeria,Africa,Basic,8.99,2022-10-27,2026-02-07,Wallet,No,Active,Action Title 2184,Movie,Action,French,2011,Laptop,70,2,100,2023-05-03,Afternoon,4,Yes,Trending,9,180,0.67,Active,low,High Completion,Casual viewer
U100901,60,Male,Nigeria,Africa,Premium,17.99,2022-04-11,2026-02-07,Card,No,Active,Thriller Title 1765,Series,Thriller,German,2007,Mobile,111,3,92,2022-12-15,Night,4,Yes,Friend,2,364,0.73,Active,low,High Completion,Heavy viewer
U100902,50,Female,France,Europe,Standard,13.99,2022-06-16,2026-02-07,Bank Transfer,No,Active,Documentary Title 1417,Series,Documentary,French,2005,Mobile,87,2,96,2023-03-22,Night,5,Yes,Algorithm,4,258,0.25,Active,low,High Completion,Heavy viewer
U100903,21,Female,France,Europe,Standard,13.99,2023-03-03,2026-02-07,Bank Transfer,No,Active,Comedy Title 2263,Series,Comedy,Yoruba,2000,Tablet,84,2,93,2023-03-22,Afternoon,3,No,Ads,22,338,0.65,Active,low,High Completion,Heavy viewer
U100904,50,Male,France,Europe,Standard,13.99,2022-05-04,2026-02-07,Wallet,No,Active,Drama Title 2281,Movie,Drama,Japanese,2008,Laptop,73,2,81,2022-05-07,Evening,2,No,Trending,20,286,0.55,Active,low,High Completion,Heavy viewer
U100905,17,Male,France,Europe,Basic,8.99,2022-12-17,2026-02-07,Wallet,No,Active,Comedy Title 1393,Series,Comedy,Portuguese,2023,Laptop,39,1,65,2023-02-27,Morning,1,No,Algorithm,44,224,0.28,At Risk,low,Medium,Casual viewer
U100906,30,Male,France,Europe,Basic,8.99,2023-04-03,2023-06-14,Bank Transfer,No,Cancelled,Action Title 1240,Series,Action,Hindi,2005,Mobile,53,1,88,2024-01-24,Night,3,No,Friend,6,149,0.95,Active,low,High Completion,Casual viewer
U100907,30,Male,Japan,Asia,Basic,8.99,2023-06-22,2024-01-22,Card,No,Cancelled,Thriller Title 2797,Series,Thriller,Yoruba,2014,TV,62,2,100,2024-02-18,Afternoon,5,Yes,Search,27,233,0.7,Active,low,High Completion,Casual viewer
U100908,60,Female,Nigeria,Africa,Standard,13.99,2023-12-06,2024-09-27,Card,No,Cancelled,Thriller Title 2007,Series,Thriller,Japanese,2022,Laptop,123,4,100,2024-07-07,Afternoon,1,No,Trending,56,261,0.66,At Risk,low,High Completion,Heavy viewer
